name;n;swaps;compares;time;
dual;1000;3070;9549;0.002178;
dual;1000;3070;9549;0.002224;
dual;1000;3070;9549;0.002478;
dual;1000;3070;9549;0.002277;
dual;1000;3070;9549;0.002232;
dual;1000;3070;9549;0.002188;
dual;1000;3070;9549;0.003442;
dual;1000;3070;9549;0.003235;
dual;1000;3070;9549;0.003606;
dual;1000;3070;9549;0.003554;
dual;1100;4758;11217;0.004335;
dual;1100;4758;11217;0.004084;
dual;1100;4758;11217;0.004;
dual;1100;4758;11217;0.003854;
dual;1100;4758;11217;0.003287;
dual;1100;4758;11217;0.002948;
dual;1100;4758;11217;0.002877;
dual;1100;4758;11217;0.00359;
dual;1100;4758;11217;0.003482;
dual;1100;4758;11217;0.002974;
dual;1200;3960;11380;0.003555;
dual;1200;3960;11380;0.002882;
dual;1200;3960;11380;0.003597;
dual;1200;3960;11380;0.003229;
dual;1200;3960;11380;0.002952;
dual;1200;3960;11380;0.003091;
dual;1200;3960;11380;0.00307;
dual;1200;3960;11380;0.003537;
dual;1200;3960;11380;0.00397;
dual;1200;3960;11380;0.003915;
dual;1300;4065;12558;0.004023;
dual;1300;4065;12558;0.003931;
dual;1300;4065;12558;0.003736;
dual;1300;4065;12558;0.003973;
dual;1300;4065;12558;0.003898;
dual;1300;4065;12558;0.003833;
dual;1300;4065;12558;0.003868;
dual;1300;4065;12558;0.003123;
dual;1300;4065;12558;0.003045;
dual;1300;4065;12558;0.002971;
dual;1400;6052;15121;0.003187;
dual;1400;6052;15121;0.003583;
dual;1400;6052;15121;0.003134;
dual;1400;6052;15121;0.003061;
dual;1400;6052;15121;0.003532;
dual;1400;6052;15121;0.003979;
dual;1400;6052;15121;0.00386;
dual;1400;6052;15121;0.003616;
dual;1400;6052;15121;0.003433;
dual;1400;6052;15121;0.003963;
dual;1500;6645;15582;0.0039;
dual;1500;6645;15582;0.003186;
dual;1500;6645;15582;0.003671;
dual;1500;6645;15582;0.003727;
dual;1500;6645;15582;0.003533;
dual;1500;6645;15582;0.003578;
dual;1500;6645;15582;0.00359;
dual;1500;6645;15582;0.003576;
dual;1500;6645;15582;0.003563;
dual;1500;6645;15582;0.003552;
dual;1600;4821;16939;0.003576;
dual;1600;4821;16939;0.003532;
dual;1600;4821;16939;0.003969;
dual;1600;4821;16939;0.003856;
dual;1600;4821;16939;0.003371;
dual;1600;4821;16939;0.003393;
dual;1600;4821;16939;0.003549;
dual;1600;4821;16939;0.003456;
dual;1600;4821;16939;0.00345;
dual;1600;4821;16939;0.00353;
dual;1700;6896;18403;0.003787;
dual;1700;6896;18403;0.005466;
dual;1700;6896;18403;0.007034;
dual;1700;6896;18403;0.006581;
dual;1700;6896;18403;0.006613;
dual;1700;6896;18403;0.005773;
dual;1700;6896;18403;0.004896;
dual;1700;6896;18403;0.004158;
dual;1700;6896;18403;0.004194;
dual;1700;6896;18403;0.003672;
dual;1800;7565;19633;0.004353;
dual;1800;7565;19633;0.004026;
dual;1800;7565;19633;0.004586;
dual;1800;7565;19633;0.004215;
dual;1800;7565;19633;0.004324;
dual;1800;7565;19633;0.004019;
dual;1800;7565;19633;0.004106;
dual;1800;7565;19633;0.004113;
dual;1800;7565;19633;0.00452;
dual;1800;7565;19633;0.004404;
dual;1900;8503;20991;0.004336;
dual;1900;8503;20991;0.00433;
dual;1900;8503;20991;0.005366;
dual;1900;8503;20991;0.004739;
dual;1900;8503;20991;0.004377;
dual;1900;8503;20991;0.004574;
