name;n;swaps;compares;time;
dual;2800;11328;30957;0,008037;
dual;2900;13828;32253;0,008262;
dual;2900;13828;32253;0,008294;
dual;2900;13828;32253;0,008285;
dual;2900;13828;32253;0,008289;
dual;2900;13828;32253;0,008282;
dual;2900;13828;32253;0,00825;
dual;2900;13828;32253;0,008336;
dual;2900;13828;32253;0,008282;
dual;2900;13828;32253;0,008335;
dual;2900;13828;32253;0,008287;
dual;3000;14547;35443;0,009027;
dual;3000;14547;35443;0,008912;
dual;3000;14547;35443;0,008947;
dual;3000;14547;35443;0,008954;
dual;3000;14547;35443;0,00894;
dual;3000;14547;35443;0,00892;
dual;3000;14547;35443;0,008939;
dual;3000;14547;35443;0,008971;
dual;3000;14547;35443;0,008918;
dual;3000;14547;35443;0,008969;
dual;3100;14289;35498;0,009027;
dual;3100;14289;35498;0,009021;
dual;3100;14289;35498;0,008985;
dual;3100;14289;35498;0,009103;
dual;3100;14289;35498;0,009058;
dual;3100;14289;35498;0,009127;
dual;3100;14289;35498;0,008993;
dual;3100;14289;35498;0,009036;
dual;3100;14289;35498;0,009011;
dual;3100;14289;35498;0,008993;
dual;3200;15244;37402;0,009455;
dual;3200;15244;37402;0,009479;
dual;3200;15244;37402;0,009541;
dual;3200;15244;37402;0,009487;
dual;3200;15244;37402;0,010811;
dual;3200;15244;37402;0,009512;
dual;3200;15244;37402;0,009738;
dual;3200;15244;37402;0,009547;
dual;3200;15244;37402;0,009413;
dual;3200;15244;37402;0,009419;
dual;3300;16475;37941;0,009698;
dual;3300;16475;37941;0,009975;
dual;3300;16475;37941;0,009634;
dual;3300;16475;37941;0,009675;
dual;3300;16475;37941;0,009646;
dual;3300;16475;37941;0,009652;
dual;3300;16475;37941;0,009766;
dual;3300;16475;37941;0,009715;
dual;3300;16475;37941;0,009657;
dual;3300;16475;37941;0,009715;
dual;3400;17114;40735;0,010315;
dual;3400;17114;40735;0,010225;
dual;3400;17114;40735;0,010208;
dual;3400;17114;40735;0,010387;
dual;3400;17114;40735;0,010273;
dual;3400;17114;40735;0,011951;
dual;3400;17114;40735;0,011609;
dual;3400;17114;40735;0,011719;
dual;3400;17114;40735;0,010386;
dual;3400;17114;40735;0,010233;
dual;3500;17083;40771;0,010397;
dual;3500;17083;40771;0,010573;
dual;3500;17083;40771;0,010839;
dual;3500;17083;40771;0,010375;
dual;3500;17083;40771;0,010367;
dual;3500;17083;40771;0,010422;
dual;3500;17083;40771;0,010364;
dual;3500;17083;40771;0,010332;
dual;3500;17083;40771;0,01038;
dual;3500;17083;40771;0,010483;
dual;3600;15305;42589;0,010704;
dual;3600;15305;42589;0,010754;
dual;3600;15305;42589;0,010712;
dual;3600;15213;41859;0,010586;
dual;3600;20640;42521;0,010774;
dual;3600;20640;42521;0,010847;
dual;3600;20640;42521;0,010751;
dual;3600;20640;42521;0,010746;
dual;3600;20640;42521;0,010941;
dual;3600;20640;42521;0,010751;
dual;3700;17007;42211;0,010768;
dual;3700;17007;42211;0,010913;
dual;3700;17007;42211;0,012253;
dual;3700;17007;42211;0,011826;
dual;3700;17007;42211;0,010845;
dual;3700;17007;42211;0,010905;
dual;3700;17007;42211;0,010803;
dual;3700;17007;42211;0,010791;
dual;3700;17007;42211;0,010859;
dual;3700;17007;42211;0,010793;
dual;3800;16445;42775;0,010937;
dual;3800;16445;42775;0,010953;
dual;3800;16445;42775;0,010976;
dual;3800;16445;42775;0,011041;
dual;3800;16445;42775;0,011009;
dual;3800;16445;42775;0,010978;
dual;3800;16445;42775;0,01118;
dual;3800;16445;42775;0,010978;
dual;3800;16445;42775;0,010964;
dual;3800;16445;42775;0,011033;
dual;3900;19413;48128;0,013032;
dual;3900;19413;48128;0,013558;
dual;3900;19413;48128;0,012695;
dual;3900;19413;48128;0,012147;
dual;3900;19413;48128;0,012132;
dual;3900;19413;48128;0,01212;
dual;3900;19413;48128;0,011997;
dual;3900;19413;48128;0,012167;
dual;3900;19413;48128;0,012159;
dual;3900;19413;48128;0,012132;
dual;4000;16955;46516;0,011831;
dual;4000;16955;46516;0,01182;
dual;4000;16955;46516;0,011783;
dual;4000;16955;46516;0,01184;
dual;4000;16955;46516;0,011823;
dual;4000;16955;46516;0,011816;
dual;4000;16955;46516;0,011844;
dual;4000;16955;46516;0,011783;
dual;4000;16955;46516;0,011823;
dual;4000;16955;46516;0,011814;
dual;4100;20740;49593;0,012487;
dual;4100;20740;49593;0,01251;
dual;4100;20740;49593;0,012562;
dual;4100;20740;49593;0,01257;
dual;4100;20740;49593;0,013268;
dual;4100;20740;49593;0,01246;
dual;4100;20740;49593;0,012611;
dual;4100;20740;49593;0,01271;
dual;4100;20740;49593;0,012573;
dual;4100;20740;49593;0,012617;
dual;4200;18220;51670;0,013148;
dual;4200;18220;51670;0,01293;
dual;4200;18220;51670;0,012893;
dual;4200;18220;51670;0,012877;
dual;4200;18220;51670;0,012965;
dual;4200;18220;51670;0,013027;
dual;4200;18220;51670;0,013073;
dual;4200;18220;51670;0,012905;
dual;4200;18220;51670;0,012886;
dual;4200;18220;51670;0,012995;
dual;4300;17849;51720;0,013086;
dual;4300;17849;51720;0,013115;
dual;4300;17849;51720;0,013094;
dual;4300;17849;51720;0,013199;
dual;4300;17849;51720;0,013014;
dual;4300;17849;51720;0,013058;
dual;4300;17849;51720;0,013039;
dual;4300;17849;51720;0,013075;
dual;4300;17849;51720;0,013;
dual;4300;17849;51720;0,013047;
dual;4400;20575;57637;0,014051;
dual;4400;20575;57637;0,014068;
dual;4400;20575;57637;0,014191;
dual;4400;20575;57637;0,014061;
dual;4400;20575;57637;0,014184;
dual;4400;20466;56201;0,014102;
dual;4400;20999;52546;0,013217;
dual;4400;20999;52546;0,013173;
dual;4400;20999;52546;0,0133;
dual;4400;20999;52546;0,013624;
dual;4500;26829;55094;0,013884;
dual;4500;26829;55094;0,01375;
dual;4500;26829;55094;0,015318;
dual;4500;26829;55094;0,0152;
dual;4500;26829;55094;0,013901;
dual;4500;26829;55094;0,014065;
dual;4500;26829;55094;0,013824;
dual;4500;26829;55094;0,013909;
dual;4500;26829;55094;0,013837;
dual;4500;26829;55094;0,013929;
dual;4600;22817;57083;0,014198;
dual;4600;22817;57083;0,01419;
dual;4600;22817;57083;0,01426;
dual;4600;22817;57083;0,014219;
dual;4600;22817;57083;0,014201;
dual;4600;22817;57083;0,014183;
dual;4600;22817;57083;0,014292;
dual;4600;22817;57083;0,014215;
dual;4600;22817;57083;0,014203;
dual;4600;22817;57083;0,014301;
dual;4700;23381;56766;0,014262;
dual;4700;23381;56766;0,014268;
dual;4700;23381;56766;0,014285;
dual;4700;23381;56766;0,014326;
dual;4700;23381;56766;0,014216;
dual;4700;23381;56766;0,014212;
dual;4700;23381;56766;0,014229;
dual;4700;23381;56766;0,014314;
dual;4700;23381;56766;0,014236;
dual;4700;23381;56766;0,014218;
dual;4800;25958;59185;0,014753;
dual;4800;25958;59185;0,0148;
dual;4800;25958;59185;0,014855;
dual;4800;25958;59185;0,014806;
dual;4800;25958;59185;0,014973;
dual;4800;25958;59185;0,014878;
dual;4800;25958;59185;0,015447;
dual;4800;25958;59185;0,01717;
dual;4800;25958;59185;0,015069;
dual;4800;25958;59185;0,01481;
dual;4900;24682;60705;0,015145;
dual;4900;24682;60705;0,015428;
dual;4900;24682;60705;0,015204;
dual;4900;24682;60705;0,015097;
dual;4900;24682;60705;0,015155;
dual;4900;24682;60705;0,01512;
dual;4900;24682;60705;0,015187;
dual;4900;24682;60705;0,015198;
dual;4900;24682;60705;0,015094;
dual;4900;24682;60705;0,015193;
dual;5000;26899;61310;0,015469;
dual;5000;26899;61310;0,015406;
dual;5000;26899;61310;0,015547;
dual;5000;26899;61310;0,015365;
dual;5000;26899;61310;0,015451;
dual;5000;26899;61310;0,015372;
dual;5000;26899;61310;0,015376;
dual;5000;26899;61310;0,015374;
dual;5000;26899;61310;0,015371;
dual;5000;26899;61310;0,015391;
dual;5100;26783;65263;0,016249;
dual;5100;26783;65263;0,016165;
dual;5100;26783;65263;0,016212;
